Rating	SEA1	SHR1	SEA2	SHR2	SEA3	SHR3	SEA4	SHR4	SEA/SHR	NOTES	
ABE	56	36	60	36	48	36	48	36	36/36	A	J
ABF	56	36	60	36	48	36	48	36	36/36	A	J
ABH	56	36	60	36	48	36	48	36	36/36	A	J
AD	48	36	48	36	48	36	36	36	36/36		
AE	54	36	54	36	36	36	36	36	36/36	J	
AG	36	36	36	36	36	36	36	36	36/36		
AM	54	36	48	36	42	36	36	36	36/36	J	
AME	54	36	54	36	36	36	36	36	36/36	J	
AO	55	36	60	36	48	36	48	36	36/36	A	J
AS	36	36	48	36	36	48	36	36	36/36		
AT	50	36	48	36	48	36	36	36	36/36		
AWF	54	36	36	36	36	36	36	36	36/36		
AWO	48	36	36	36	36	36	36	36	36/36		
AWR	48	36	36	36	36	36	36	36	36/36		
AWS	51	36	36	36	36	36	36	36	36/36		
AWV	54	36	36	36	36	36	36	36	36/36		
AZ	55	36	48	36	42	36	36	36	36/36	J	
BM	56	36	60	36	48	36	48	36	36/36	A	J
BU	54	36	54	36	42	36	36	36	36/36	I	
CE	52	42	36	42	36	42	36	36	36/36	I	
CM	60	36	60	36	42	36	42	36	36/36	A	I
CS	55	36	54	36	48	36	36	36	36/36	A	J
CSS	51	36	54	36	48	36	36	36	36/36	A	J
CTM	36	36	36	36	36	36	36	36	36/36	H	
CTR	36	36	36	48	36	48	36	36	36/36	H	
CTT	42	36	36	36	36	36	36	36	36/36	H	
CTT(AEF)	48	36	36	36	36	36	36	36	36/36	H	
DC	54	36	60	36	48	36	48	36	36/36	A	J
EA	36	48	36	48	36	48	36	36	36/36	I	
EM	53	36	60	36	48	36	48	36	36/36	A	J
EN	55	36	60	36	48	36	48	36	36/36	A	J
EO	52	36	60	36	42	36	36	36	36/36	I	
EOD	60	36	60	36	48	36	48	36	36/36	A	
ET	54	36	48	36	36	36	36	36	36/36		
ETR	54	36	48	36	42	36	36	36	36/36		
ETV	48	36	42	36	36	36	36	36	36/36		
FC	51	36	48	36	36	36	36	36	36/36		
FCAEGIS	60	36	60	36	48	36	48	36	36/36	A	
FT	54	36	42	36	36	36	36	36	36/36		
GM	49	36	60	36	48	36	48	36	36/36	A	J
GSE	52	36	60	36	48	36	48	36	36/36	A	J
GSM	54	36	60	36	48	36	48	36	36/36	A	J
HT	54	36	40	36	36	36	36	36	36/36	J	
IC	60	36	60	36	48	36	48	36	36/36	A	
IS	36	36	36	48	36	48	36	48	36/48		
IT	48	36	36	36	36	36	36	36	36/36		
ITS	54	36	48	36	42	36	36	36	36/36		
LN	36	48	36	48	36	48	36	36	36/36	B	
LS	55	36	48	36	42	36	36	36	36/36	J	
LSS	52	36	36	36	36	36	36	36	36/36	J	
MA	36	36	36	36	36	36	36	36	36/36	K	
MC	36	48	36	48	36	48	36	36	36/36		
MM	54	36	60	36	48	36	48	36	36/36	A	J
MMA	51	36	54	36	42	36	42	36	36/36	J	
MMW	51	36	42	36	36	36	36	36	36/36	J	
MN	48	36	48	36	36	36	36	36	36/36		
MR	48	36	36	36	36	36	36	36	36/36		
MT	48	36	42	36	36	36	30	30	30/30	K	
NC	0	--	36	36	42	36	36	36	36/36	D	
ND	36	36	36	36	36	36	36	36	36/36		
OS	54	36	60	36	48	36	48	36	36/36	A	J
PR	42	36	36	36	36	36	36	36	36/36	K	
PS	48	36	42	36	42	36	36	36	36/36		
QM	54	36	60	36	48	36	48	36	36/36	A	J
RP	36	48	36	48	36	48	36	36	36/36	K	
SB	60	36	60	36	48	36	48	36	36/36	A	E
SH	55	36	54	36	48	36	36	36	36/36	J	
SO	60	36	60	36	48	36	48	36	36/36	A	E
STG	45	36	60	36	48	36	48	36	36/36	A	J
STG (6YO)	54	36	60	36	48	36	48	36	36/36	A	J
STS	48	36	48	36	36	36	36	36	36/36		
SW	60	36	58	36	42	36	36	36	36/36	I	
UT	52	36	42	36	36	36	36	36	36/36	I	
YN	36	48	36	54	36	48	36	36	36/36		
YNS	36	36	36	36	36	36	36	36	36/36		
AC	Career Path Not Defined by Sea Shore Flow									C
CMD	Career Path Not Defined by Sea Shore Flow									D
CTI	Career Path Not Defined by Sea Shore Flow									C	H
CTN	Career Path Not Defined by Sea Shore Flow									C	H
HM	Career Path Not Defined by Sea Shore Flow									C	F
LCAC	Career Path Not Defined by Sea Shore Flow									D
MU	Career Path Not Defined by Sea Shore Flow									C
NCCR	Career Path Not Defined by Sea Shore Flow									C	D
EMN(SS)	Refer to References (C) and (D) for Tour Length Information									G
EMN(SW)	Refer to References (C) and (D) for Tour Length Information									G
ETN(SS)	Refer to References (C) and (D) for Tour Length Information									G
ETN(SW)	Refer to References (C) and (D) for Tour Length Information									G
MMN(SS)	Refer to References (C) and (D) for Tour Length Information									G
MMN(SW)	Refer to References (C) and (D) for Tour Length Information									G
MMNELT(SS)	Refer to References (C) and (D) for Tour Length Information									G
MMNELT(SW)	Refer to References (C) and (D) for Tour Length Information									G
